Ordinal,Type,Added,AST
3,VALUE,32,82
2,VAR,1,5
3,VALUE,2,2
3,VALUE,5,37
0,MULTI,4,1
2,VAR,2,3
0,MULTI,15,6
1,CONTROL,8,12
3,VALUE,4,0
1,CONTROL,11,3
1,CONTROL,38,26
0,MULTI,4,0
3,VALUE,1,7
1,CONTROL,12,6
3,VALUE,2,2
1,CONTROL,23,5
0,MULTI,2,1
0,MULTI,6,1
0,MULTI,2,86
0,MULTI,8,0
2,VAR,5,31
3,VALUE,2,0
1,CONTROL,31,2
2,VAR,1,5
0,MULTI,8,31
0,MULTI,10,52
1,CONTROL,6,4
3,VALUE,24,2
1,CONTROL,74,12
2,VAR,7,57
3,VALUE,32,66
0,MULTI,2,6
3,VALUE,19,79
2,VAR,1,18
3,VALUE,5,33
1,CONTROL,16,12
0,MULTI,1,6
0,MULTI,13,5
2,VAR,16,68
2,VAR,2,7
0,MULTI,33,38
2,VAR,2,4
3,VALUE,1,0
0,MULTI,1,2
0,MULTI,50,13
3,VALUE,10,247
0,MULTI,13,15
