Ordinal,Type,Added,AST
5,LINE,3,3
4,AST,3,3
5,LINE,39,18
4,AST,18,18
5,LINE,3,7
4,AST,7,7
0,MULTI,4,7
2,VAR,2,7
3,VALUE,2,7
5,LINE,50,27
4,AST,27,27
0,MULTI,60,27
1,CONTROL,30,27
2,VAR,12,27
3,VALUE,18,27
5,LINE,44,14
4,AST,14,14
0,MULTI,12,14
1,CONTROL,8,14
2,VAR,2,14
3,VALUE,2,14
5,LINE,12,6
4,AST,6,6
0,MULTI,24,6
1,CONTROL,6,6
2,VAR,9,6
3,VALUE,9,6
5,LINE,58,12
4,AST,12,12
0,MULTI,16,12
1,CONTROL,6,12
2,VAR,5,12
3,VALUE,5,12
5,LINE,8,8
4,AST,8,8
0,MULTI,17,8
2,VAR,9,8
3,VALUE,8,8
5,LINE,6,10
4,AST,10,10
5,LINE,73,0
5,LINE,72,62
4,AST,62,62
0,MULTI,62,62
1,CONTROL,41,62
2,VAR,7,62
3,VALUE,14,62
5,LINE,6,6
4,AST,6,6
5,LINE,22,0
5,LINE,6,6
4,AST,6,6
5,LINE,4,0
5,LINE,2,1
4,AST,1,1
0,MULTI,1,1
3,VALUE,1,1
5,LINE,4,2
4,AST,2,2
5,LINE,17,11
4,AST,11,11
0,MULTI,33,11
1,CONTROL,10,11
2,VAR,11,11
3,VALUE,12,11
5,LINE,32,17
4,AST,17,17
0,MULTI,35,17
1,CONTROL,15,17
2,VAR,10,17
3,VALUE,10,17
5,LINE,8,5
4,AST,5,5
0,MULTI,9,5
1,CONTROL,9,5
5,LINE,9,5
4,AST,5,5
5,LINE,4,2
4,AST,2,2
5,LINE,4,2
4,AST,2,2
5,LINE,7,3
4,AST,3,3
0,MULTI,4,3
2,VAR,2,3
3,VALUE,2,3
5,LINE,4,2
4,AST,2,2
0,MULTI,27,2
1,CONTROL,27,2
5,LINE,2,2
4,AST,2,2
5,LINE,12,0
5,LINE,2,2
4,AST,2,2
5,LINE,4,2
4,AST,2,2
0,MULTI,6,2
3,VALUE,6,2
5,LINE,3,3
4,AST,3,3
0,MULTI,8,3
2,VAR,2,3
3,VALUE,6,3
5,LINE,18,6
4,AST,6,6
5,LINE,10,6
4,AST,6,6
5,LINE,27,8
4,AST,8,8
0,MULTI,50,8
1,CONTROL,9,8
2,VAR,18,8
3,VALUE,23,8
5,LINE,6,0
5,LINE,141,0
5,LINE,2,1
4,AST,1,1
5,LINE,4,0
5,LINE,25,23
4,AST,23,23
0,MULTI,22,23
1,CONTROL,2,23
3,VALUE,20,23
5,LINE,1,0
5,LINE,15,4
4,AST,4,4
0,MULTI,20,4
1,CONTROL,2,4
2,VAR,7,4
3,VALUE,11,4
5,LINE,109,104
4,AST,104,104
0,MULTI,166,104
1,CONTROL,3,104
2,VAR,85,104
3,VALUE,78,104
5,LINE,4,2
4,AST,2,2
5,LINE,25,3
4,AST,3,3
0,MULTI,2,3
2,VAR,1,3
3,VALUE,1,3
5,LINE,27,14
4,AST,14,14
0,MULTI,2,14
2,VAR,1,14
3,VALUE,1,14
5,LINE,2,0
5,LINE,133,72
4,AST,72,72
0,MULTI,26,72
2,VAR,13,72
3,VALUE,13,72
5,LINE,6,5
4,AST,5,5
0,MULTI,6,5
1,CONTROL,2,5
2,VAR,2,5
3,VALUE,2,5
5,LINE,1,0
5,LINE,2,0
5,LINE,4,0
5,LINE,46,12
4,AST,12,12
5,LINE,2,0
5,LINE,1,1
4,AST,1,1
5,LINE,2,0
5,LINE,77,0
5,LINE,8,5
4,AST,5,5
5,LINE,4,4
4,AST,4,4
5,LINE,40,37
4,AST,37,37
0,MULTI,40,37
1,CONTROL,40,37
5,LINE,52,0
5,LINE,6,10
4,AST,10,10
5,LINE,2,2
4,AST,2,2
5,LINE,4,0
5,LINE,6,0
5,LINE,7,2
4,AST,2,2
5,LINE,2,0
0,MULTI,2,0
3,VALUE,2,0
5,LINE,13,16
4,AST,16,16
0,MULTI,2,16
2,VAR,1,16
3,VALUE,1,16
5,LINE,7,0
5,LINE,6,5
4,AST,5,5
5,LINE,24,13
4,AST,13,13
5,LINE,2,0
5,LINE,3,3
4,AST,3,3
5,LINE,14,4
4,AST,4,4
5,LINE,4,0
5,LINE,8,2
4,AST,2,2
5,LINE,2,2
4,AST,2,2
5,LINE,35,29
4,AST,29,29
5,LINE,1,1
4,AST,1,1
5,LINE,4,4
4,AST,4,4
5,LINE,530,0
5,LINE,2,0
5,LINE,10,6
4,AST,6,6
0,MULTI,8,6
3,VALUE,8,6
5,LINE,2,0
0,MULTI,2,0
3,VALUE,2,0
5,LINE,1,0
5,LINE,12,0
0,MULTI,4,0
3,VALUE,4,0
5,LINE,91,48
4,AST,48,48
0,MULTI,121,48
1,CONTROL,58,48
2,VAR,37,48
3,VALUE,26,48
5,LINE,3,2
4,AST,2,2
5,LINE,2,1
4,AST,1,1
5,LINE,30,0
5,LINE,8,7
4,AST,7,7
5,LINE,8,0
5,LINE,526,187
4,AST,187,187
5,LINE,12,3
4,AST,3,3
0,MULTI,24,3
2,VAR,7,3
3,VALUE,17,3
5,LINE,3,0
5,LINE,24,9
4,AST,9,9
0,MULTI,47,9
1,CONTROL,17,9
2,VAR,16,9
3,VALUE,14,9
5,LINE,4,3
4,AST,3,3
0,MULTI,6,3
2,VAR,5,3
3,VALUE,1,3
5,LINE,7,5
4,AST,5,5
5,LINE,78,50
4,AST,50,50
0,MULTI,29,50
1,CONTROL,13,50
2,VAR,6,50
3,VALUE,10,50
5,LINE,21,9
4,AST,9,9
0,MULTI,16,9
1,CONTROL,9,9
2,VAR,7,9
5,LINE,5,2
4,AST,2,2
5,LINE,5,5
4,AST,5,5
0,MULTI,2,5
2,VAR,1,5
3,VALUE,1,5
5,LINE,64,50
4,AST,50,50
0,MULTI,140,50
1,CONTROL,49,50
2,VAR,45,50
3,VALUE,46,50
5,LINE,16,2
4,AST,2,2
0,MULTI,6,2
1,CONTROL,2,2
2,VAR,2,2
3,VALUE,2,2
5,LINE,133,37
4,AST,37,37
0,MULTI,4,37
2,VAR,1,37
3,VALUE,3,37
5,LINE,2,0
5,LINE,1,0
5,LINE,2,3
4,AST,3,3
0,MULTI,1,3
1,CONTROL,1,3
5,LINE,267,149
4,AST,149,149
0,MULTI,12,149
3,VALUE,12,149
5,LINE,2,1
4,AST,1,1
5,LINE,27,16
4,AST,16,16
0,MULTI,40,16
1,CONTROL,10,16
2,VAR,14,16
3,VALUE,16,16
5,LINE,4,2
4,AST,2,2
5,LINE,17,14
4,AST,14,14
0,MULTI,21,14
1,CONTROL,3,14
3,VALUE,18,14
5,LINE,6,0
0,MULTI,10,0
3,VALUE,10,0
5,LINE,3,2
4,AST,2,2
0,MULTI,4,2
2,VAR,2,2
3,VALUE,2,2
5,LINE,13,14
4,AST,14,14
5,LINE,7,5
4,AST,5,5
0,MULTI,9,5
1,CONTROL,5,5
2,VAR,2,5
3,VALUE,2,5
5,LINE,1,1
4,AST,1,1
0,MULTI,2,1
2,VAR,1,1
3,VALUE,1,1
5,LINE,11,7
4,AST,7,7
0,MULTI,2,7
1,CONTROL,2,7
5,LINE,2,2
4,AST,2,2
0,MULTI,6,2
3,VALUE,6,2
5,LINE,4,0
0,MULTI,4,0
2,VAR,4,0
5,LINE,2,3
4,AST,3,3
5,LINE,8,0
5,LINE,2,1
4,AST,1,1
5,LINE,2,0
5,LINE,26,61
4,AST,61,61
0,MULTI,4,61
3,VALUE,4,61
5,LINE,3,6
4,AST,6,6
5,LINE,2,2
4,AST,2,2
5,LINE,44,34
4,AST,34,34
5,LINE,20,12
4,AST,12,12
0,MULTI,81,12
1,CONTROL,36,12
2,VAR,26,12
3,VALUE,19,12
5,LINE,4,2
4,AST,2,2
5,LINE,7,6
4,AST,6,6
5,LINE,124,93
4,AST,93,93
0,MULTI,357,93
1,CONTROL,292,93
2,VAR,24,93
3,VALUE,41,93
5,LINE,54,0
5,LINE,2,2
4,AST,2,2
0,MULTI,2,2
1,CONTROL,2,2
5,LINE,2,2
4,AST,2,2
5,LINE,16,0
5,LINE,39,16
4,AST,16,16
5,LINE,14,8
4,AST,8,8
5,LINE,16,10
4,AST,10,10
0,MULTI,22,10
1,CONTROL,6,10
2,VAR,10,10
3,VALUE,6,10
5,LINE,2,0
5,LINE,10,10
4,AST,10,10
5,LINE,88,2
4,AST,2,2
0,MULTI,3,2
1,CONTROL,3,2
5,LINE,2,2
4,AST,2,2
5,LINE,8,2
4,AST,2,2
0,MULTI,6,2
2,VAR,4,2
3,VALUE,2,2
5,LINE,10,7
4,AST,7,7
0,MULTI,4,7
1,CONTROL,1,7
3,VALUE,3,7
5,LINE,28,14
4,AST,14,14
0,MULTI,58,14
1,CONTROL,14,14
2,VAR,21,14
3,VALUE,23,14
5,LINE,17,9
4,AST,9,9
5,LINE,4,0
5,LINE,63,11
4,AST,11,11
0,MULTI,17,11
3,VALUE,17,11
5,LINE,2,2
4,AST,2,2
5,LINE,26,15
4,AST,15,15
0,MULTI,27,15
1,CONTROL,12,15
2,VAR,7,15
3,VALUE,8,15
5,LINE,4,0
5,LINE,33,26
4,AST,26,26
5,LINE,44,0
5,LINE,6,1
4,AST,1,1
5,LINE,2,0
5,LINE,44,17
4,AST,17,17
5,LINE,93,55
4,AST,55,55
5,LINE,6,2
4,AST,2,2
5,LINE,2,0
5,LINE,14,6
4,AST,6,6
5,LINE,34,19
4,AST,19,19
0,MULTI,17,19
1,CONTROL,6,19
2,VAR,4,19
3,VALUE,7,19
5,LINE,14,0
5,LINE,12,0
5,LINE,4,4
4,AST,4,4
5,LINE,10,0
5,LINE,2,0
5,LINE,2,2
4,AST,2,2
5,LINE,14,0
5,LINE,6,4
4,AST,4,4
5,LINE,2,2
4,AST,2,2
5,LINE,15,4
4,AST,4,4
0,MULTI,14,4
1,CONTROL,4,4
2,VAR,5,4
3,VALUE,5,4
5,LINE,2,0
5,LINE,28,10
4,AST,10,10
0,MULTI,4,10
1,CONTROL,4,10
5,LINE,2,1
4,AST,1,1
5,LINE,4,2
4,AST,2,2
5,LINE,2,0
5,LINE,4,2
4,AST,2,2
5,LINE,7,6
4,AST,6,6
5,LINE,2,2
4,AST,2,2
5,LINE,4,4
4,AST,4,4
5,LINE,37,26
4,AST,26,26
5,LINE,23,10
4,AST,10,10
5,LINE,47,0
5,LINE,34,18
4,AST,18,18
5,LINE,2,1
4,AST,1,1
5,LINE,5,0
0,MULTI,1,0
3,VALUE,1,0
5,LINE,12,8
4,AST,8,8
0,MULTI,25,8
1,CONTROL,16,8
2,VAR,6,8
3,VALUE,3,8
5,LINE,5,4
4,AST,4,4
5,LINE,15,4
4,AST,4,4
0,MULTI,12,4
1,CONTROL,3,4
2,VAR,5,4
3,VALUE,4,4
5,LINE,2,0
5,LINE,2,0
5,LINE,2,2
4,AST,2,2
5,LINE,6,4
4,AST,4,4
5,LINE,5,0
5,LINE,9,6
4,AST,6,6
0,MULTI,10,6
1,CONTROL,3,6
2,VAR,5,6
3,VALUE,2,6
5,LINE,9,12
4,AST,12,12
0,MULTI,47,12
1,CONTROL,47,12
5,LINE,6,2
4,AST,2,2
5,LINE,4,0
5,LINE,6,2
4,AST,2,2
5,LINE,4,0
5,LINE,7,0
0,MULTI,14,0
2,VAR,7,0
3,VALUE,7,0
5,LINE,43,10
4,AST,10,10
5,LINE,3,2
4,AST,2,2
5,LINE,4,1
4,AST,1,1
0,MULTI,1,1
1,CONTROL,1,1
5,LINE,1,0
5,LINE,4,2
4,AST,2,2
5,LINE,27,13
4,AST,13,13
0,MULTI,17,13
1,CONTROL,6,13
2,VAR,4,13
3,VALUE,7,13
5,LINE,71,6
4,AST,6,6
0,MULTI,15,6
1,CONTROL,2,6
2,VAR,4,6
3,VALUE,9,6
5,LINE,92,50
4,AST,50,50
0,MULTI,4,50
3,VALUE,4,50
5,LINE,4,2
4,AST,2,2
5,LINE,6,6
4,AST,6,6
5,LINE,9,7
4,AST,7,7
5,LINE,2,2
4,AST,2,2
5,LINE,42,26
4,AST,26,26
0,MULTI,18,26
3,VALUE,18,26
5,LINE,6,2
4,AST,2,2
5,LINE,13,2
4,AST,2,2
0,MULTI,63,2
2,VAR,29,2
3,VALUE,34,2
5,LINE,58,40
4,AST,40,40
0,MULTI,107,40
1,CONTROL,40,40
2,VAR,29,40
3,VALUE,38,40
5,LINE,29,24
4,AST,24,24
5,LINE,8,6
4,AST,6,6
0,MULTI,12,6
1,CONTROL,6,6
2,VAR,3,6
3,VALUE,3,6
5,LINE,4,2
4,AST,2,2
5,LINE,13,1
4,AST,1,1
0,MULTI,112,1
1,CONTROL,112,1
5,LINE,6,0
5,LINE,45,78
4,AST,78,78
5,LINE,2,0
5,LINE,9,2
4,AST,2,2
0,MULTI,6,2
2,VAR,2,2
3,VALUE,4,2
5,LINE,14,0
5,LINE,5,0
5,LINE,23,18
4,AST,18,18
5,LINE,5,0
0,MULTI,4,0
3,VALUE,4,0
5,LINE,6,2
4,AST,2,2
5,LINE,2,0
5,LINE,62,33
4,AST,33,33
0,MULTI,5,33
2,VAR,2,33
3,VALUE,3,33
5,LINE,11,2
4,AST,2,2
5,LINE,1,0
5,LINE,19,11
4,AST,11,11
5,LINE,2,0
5,LINE,4,4
4,AST,4,4
5,LINE,2,0
5,LINE,2,0
5,LINE,13,16
4,AST,16,16
5,LINE,16,0
5,LINE,2,2
4,AST,2,2
5,LINE,30,20
4,AST,20,20
5,LINE,4,4
4,AST,4,4
0,MULTI,40,4
1,CONTROL,32,4
3,VALUE,8,4
5,LINE,2,0
5,LINE,2,1
4,AST,1,1
0,MULTI,2,1
3,VALUE,2,1
5,LINE,34,20
4,AST,20,20
0,MULTI,44,20
1,CONTROL,15,20
2,VAR,13,20
3,VALUE,16,20
5,LINE,14,9
4,AST,9,9
0,MULTI,1,9
3,VALUE,1,9
5,LINE,19,5
4,AST,5,5
5,LINE,1,5
4,AST,5,5
5,LINE,5,2
4,AST,2,2
5,LINE,4,0
5,LINE,8,3
4,AST,3,3
0,MULTI,3,3
1,CONTROL,2,3
3,VALUE,1,3
5,LINE,4,0
5,LINE,2,2
4,AST,2,2
5,LINE,6,4
4,AST,4,4
0,MULTI,2,4
3,VALUE,2,4
5,LINE,8,2
4,AST,2,2
5,LINE,37,15
4,AST,15,15
0,MULTI,2,15
2,VAR,1,15
3,VALUE,1,15
5,LINE,6,0
5,LINE,9,0
5,LINE,12,8
4,AST,8,8
5,LINE,15,9
4,AST,9,9
5,LINE,2,2
4,AST,2,2
5,LINE,2,0
0,MULTI,2,0
3,VALUE,2,0
5,LINE,6,2
4,AST,2,2
0,MULTI,2,2
2,VAR,1,2
3,VALUE,1,2
5,LINE,17,15
4,AST,15,15
5,LINE,2,0
5,LINE,4,4
4,AST,4,4
5,LINE,8,3
4,AST,3,3
5,LINE,9,6
4,AST,6,6
0,MULTI,4,6
1,CONTROL,4,6
5,LINE,99,16
4,AST,16,16
0,MULTI,43,16
1,CONTROL,10,16
2,VAR,15,16
3,VALUE,18,16
5,LINE,3,0
5,LINE,21,11
4,AST,11,11
5,LINE,6,1
4,AST,1,1
0,MULTI,4,1
3,VALUE,4,1
5,LINE,6,0
5,LINE,40,23
4,AST,23,23
5,LINE,4,4
4,AST,4,4
5,LINE,2,0
5,LINE,4,30
4,AST,30,30
5,LINE,54,0
5,LINE,6,6
4,AST,6,6
5,LINE,5,2
4,AST,2,2
5,LINE,25,7
4,AST,7,7
0,MULTI,23,7
1,CONTROL,7,7
2,VAR,8,7
3,VALUE,8,7
5,LINE,14,2
4,AST,2,2
5,LINE,15,19
4,AST,19,19
5,LINE,2,2
4,AST,2,2
5,LINE,18,10
4,AST,10,10
0,MULTI,51,10
1,CONTROL,10,10
2,VAR,18,10
3,VALUE,23,10
5,LINE,4,0
0,MULTI,2,0
3,VALUE,2,0
5,LINE,2,2
4,AST,2,2
0,MULTI,4,2
1,CONTROL,4,2
5,LINE,6,0
0,MULTI,11,0
1,CONTROL,2,0
3,VALUE,9,0
5,LINE,17,6
4,AST,6,6
0,MULTI,33,6
1,CONTROL,6,6
2,VAR,11,6
3,VALUE,16,6
5,LINE,13,9
4,AST,9,9
0,MULTI,33,9
2,VAR,9,9
3,VALUE,24,9
5,LINE,43,25
4,AST,25,25
0,MULTI,97,25
1,CONTROL,28,25
2,VAR,31,25
3,VALUE,38,25
5,LINE,2,0
0,MULTI,2,0
3,VALUE,2,0
5,LINE,7,3
4,AST,3,3
0,MULTI,11,3
1,CONTROL,3,3
2,VAR,4,3
3,VALUE,4,3
5,LINE,1,0
5,LINE,13,2
4,AST,2,2
0,MULTI,6,2
1,CONTROL,2,2
2,VAR,2,2
3,VALUE,2,2
5,LINE,46,0
5,LINE,10,3
4,AST,3,3
0,MULTI,4,3
2,VAR,2,3
3,VALUE,2,3
5,LINE,8,0
5,LINE,1,1
4,AST,1,1
5,LINE,26,10
4,AST,10,10
0,MULTI,83,10
1,CONTROL,76,10
2,VAR,7,10
5,LINE,19,10
4,AST,10,10
0,MULTI,4,10
2,VAR,2,10
3,VALUE,2,10
5,LINE,1,0
5,LINE,8,4
4,AST,4,4
5,LINE,34,0
5,LINE,14,0
5,LINE,5,2
4,AST,2,2
0,MULTI,1,2
1,CONTROL,1,2
5,LINE,14,0
5,LINE,18,8
4,AST,8,8
0,MULTI,19,8
1,CONTROL,8,8
2,VAR,3,8
3,VALUE,8,8
5,LINE,7,4
4,AST,4,4
5,LINE,11,4
4,AST,4,4
0,MULTI,3,4
1,CONTROL,1,4
2,VAR,1,4
3,VALUE,1,4
5,LINE,2,0
5,LINE,19,0
5,LINE,16,8
4,AST,8,8
5,LINE,4,3
4,AST,3,3
5,LINE,7,6
4,AST,6,6
5,LINE,13,2
4,AST,2,2
0,MULTI,11,2
1,CONTROL,2,2
2,VAR,4,2
3,VALUE,5,2
5,LINE,4,0
5,LINE,2,2
4,AST,2,2
5,LINE,26,12
4,AST,12,12
0,MULTI,44,12
1,CONTROL,9,12
2,VAR,10,12
3,VALUE,25,12
5,LINE,1,0
5,LINE,19,12
4,AST,12,12
5,LINE,4,2
4,AST,2,2
5,LINE,17,4
4,AST,4,4
5,LINE,16,0
5,LINE,5,3
4,AST,3,3
0,MULTI,4,3
2,VAR,2,3
3,VALUE,2,3
5,LINE,2,0
5,LINE,40,10
4,AST,10,10
0,MULTI,40,10
1,CONTROL,40,10
5,LINE,3,0
5,LINE,5,1
4,AST,1,1
5,LINE,2,0
5,LINE,28,22
4,AST,22,22
0,MULTI,2,22
3,VALUE,2,22
5,LINE,13,2
4,AST,2,2
5,LINE,7,6
4,AST,6,6
5,LINE,12,0
5,LINE,23,17
4,AST,17,17
0,MULTI,94,17
1,CONTROL,16,17
2,VAR,39,17
3,VALUE,39,17
5,LINE,37,15
4,AST,15,15
0,MULTI,59,15
1,CONTROL,32,15
2,VAR,15,15
3,VALUE,12,15
5,LINE,7,4
4,AST,4,4
0,MULTI,70,4
1,CONTROL,4,4
2,VAR,5,4
3,VALUE,61,4
5,LINE,14,0
5,LINE,2,2
4,AST,2,2
5,LINE,6,3
4,AST,3,3
5,LINE,3,2
4,AST,2,2
5,LINE,2,1
4,AST,1,1
0,MULTI,2,1
3,VALUE,2,1
5,LINE,8,4
4,AST,4,4
5,LINE,2,0
5,LINE,2,2
4,AST,2,2
5,LINE,16,11
4,AST,11,11
5,LINE,2,0
0,MULTI,4,0
3,VALUE,4,0
5,LINE,18,0
5,LINE,2,0
5,LINE,492,1
4,AST,1,1
0,MULTI,6,1
3,VALUE,6,1
5,LINE,4,4
4,AST,4,4
5,LINE,2,2
4,AST,2,2
0,MULTI,15,2
1,CONTROL,15,2
5,LINE,2,0
5,LINE,13,9
4,AST,9,9
0,MULTI,2,9
2,VAR,2,9
5,LINE,3,1
4,AST,1,1
5,LINE,110,36
4,AST,36,36
0,MULTI,48,36
1,CONTROL,17,36
2,VAR,11,36
3,VALUE,20,36
5,LINE,2,0
5,LINE,50,40
4,AST,40,40
0,MULTI,73,40
1,CONTROL,25,40
2,VAR,24,40
3,VALUE,24,40
5,LINE,9,4
4,AST,4,4
5,LINE,4,4
4,AST,4,4
0,MULTI,1,4
3,VALUE,1,4
5,LINE,2,2
4,AST,2,2
5,LINE,26,8
4,AST,8,8
5,LINE,4,0
5,LINE,8,0
5,LINE,2,2
4,AST,2,2
5,LINE,2,2
4,AST,2,2
0,MULTI,188,2
1,CONTROL,188,2
5,LINE,103,2
4,AST,2,2
5,LINE,99,19
4,AST,19,19
0,MULTI,18,19
1,CONTROL,2,19
2,VAR,7,19
3,VALUE,9,19
5,LINE,112,18
4,AST,18,18
0,MULTI,100,18
1,CONTROL,43,18
2,VAR,26,18
3,VALUE,31,18
5,LINE,2,0
5,LINE,6,11
4,AST,11,11
5,LINE,1,0
5,LINE,8,0
5,LINE,45,22
4,AST,22,22
0,MULTI,113,22
1,CONTROL,18,22
2,VAR,41,22
3,VALUE,54,22
5,LINE,10,44
4,AST,44,44
5,LINE,13,0
5,LINE,8,4
4,AST,4,4
5,LINE,2,2
4,AST,2,2
0,MULTI,14,2
1,CONTROL,14,2
5,LINE,29,13
4,AST,13,13
0,MULTI,14,13
1,CONTROL,14,13
5,LINE,591,373
4,AST,373,373
0,MULTI,1295,373
1,CONTROL,274,373
2,VAR,504,373
3,VALUE,517,373
5,LINE,3,1
4,AST,1,1
5,LINE,2,0
5,LINE,6,0
5,LINE,17,0
5,LINE,8,4
4,AST,4,4
